# Skill description manifest — curated frontmatter for SKILL.md generation
#
# Format (TAB-separated):  <skill-name><TAB><source-path-relative-to-repo-root><TAB><description>
# - Lines starting with # and blank lines are ignored.
# - <skill-name> must be lowercase letters/digits/hyphens (Claude Code skill-name rule).
# - mendix/* skills are prefixed `mendix-` to avoid clashes with top-level dev skills.
# - <description> is the discovery trigger Claude reads to decide whether to load the skill.
#   Keep it third-person and lead with "Use when…".
#
# Regenerate the SKILL.md tree with:  tools/generate-skillmd.sh
# Add new skills:  see tools/REGENERATE-SKILLS-PROMPT.md

# ---- Top-level repo / contributor skills (.claude/skills/*.md) ----
debug-bson	.claude/skills/debug-bson.md	Use when debugging BSON serialization errors while programmatically creating Mendix pages and widgets — Studio Pro crashes such as "Sequence contains no matching element" at MprObject/MprProperty, or CE0463 widget-definition errors. Systematic diff workflow using the mx tool.
design-mdl-syntax	.claude/skills/design-mdl-syntax.md	Use before designing new MDL syntax — grammar rules, AST types, or executor code for a new document type, microflow action, or operation. Covers design guardrails, standard verb patterns, and anti-patterns.
fix-issue	.claude/skills/fix-issue.md	Use when diagnosing and fixing a bug in mxcli itself. Fast-path symptom-to-file table that routes you to the right layer before opening files.
implement-mdl-feature	.claude/skills/implement-mdl-feature.md	Use when implementing a new MDL feature end-to-end — a new Mendix action type, page widget, or document type — across grammar, AST, visitor, executor, and backend.
svg-sketch-style	.claude/skills/svg-sketch-style.md	Use when hand-building SVG diagrams rendered in the VS Code extension webviews (ELK system overview or any new SVG). Enforces the sketch / proof-of-concept visual style.
test-mdl	.claude/skills/test-mdl.md	Use when testing MDL scripts against the ModelSDK Go implementation and verifying they open correctly in Studio Pro, especially after adding BSON serialization for a new document type.
tui-agent-channel	.claude/skills/tui-agent-channel.md	Use when sending MDL commands to a running mxcli TUI over its Unix socket so agent actions simulate visible, interruptible user operations.
version-awareness	.claude/skills/version-awareness.md	Use before generating any MDL — check the project's Mendix version (show features) so you never emit syntax the project cannot support. Read first for version-gated features.
implement-mdl-bson-storage	.claude/skills/implement-mdl-bson	Use when implementing new MDL commands that read from or write to MPR files — full stack from grammar to BSON serialization, including storage-name gotchas.

# ---- Mendix MDL skills (.claude/skills/mendix/*.md) ----
mendix-agents	.claude/skills/mendix/agents.md	Use when creating or managing Mendix AI Agent documents (Agent, Model, Knowledge Base, Consumed MCP Service) stored as JSON in the MPR. Requires AgentEditorCommons, Mendix 11.9+.
mendix-alter-page	.claude/skills/mendix/alter-page.md	Use when modifying an existing page or snippet's widget tree in-place with ALTER PAGE / ALTER SNIPPET (SET, INSERT, DROP, REPLACE) instead of recreating it.
mendix-assess-migration	.claude/skills/mendix/assess-migration.md	Use when investigating an existing non-Mendix application to produce a structured assessment for migrating it to Mendix.
mendix-assess-quality	.claude/skills/mendix/assess-quality.md	Use when performing a comprehensive quality assessment of a Mendix project against best practices (naming, security, performance, maintainability, architecture).
mendix-browse-integrations	.claude/skills/mendix/browse-integrations.md	Use when discovering external services and querying integration assets via the MDL CATALOG keyword (SELECT ... FROM CATALOG.*). Not the external Mendix Catalog CLI.
mendix-bulk-widget-updates	.claude/skills/mendix/bulk-widget-updates.md	Use when discovering and bulk-editing widget properties across many pages/snippets with show widgets / update widgets (experimental; dry run first).
mendix-business-events	.claude/skills/mendix/business-events.md	Use when defining event-driven APIs with business events over Kafka or message brokers (SHOW/DESCRIBE/CREATE/DROP).
mendix-catalog-search	.claude/skills/mendix/catalog-search.md	Use when searching the external Mendix Catalog service registry (catalog.mendix.com via mxcli catalog search). Requires platform auth. Not the MDL CATALOG keyword.
mendix-cheatsheet-errors	.claude/skills/mendix/cheatsheet-errors.md	Use when debugging common MDL syntax errors — quick symptom-to-fix lookups for variable, entity, and association mistakes.
